observed_score,expected_score,observed_count,obs_exp_average,beta_jm,beta_se,t,df,p_value,infit_mnsq,outfit_mnsq,beta_sequence,judge_id,judge_label,judge_measure,target_id,target_identity,target_anchor,comment_count,mean_target_share
755.0,732.92,540,0.04,-0.19,0.09,-2.01,539,0.0445,0.8,0.9,71,20009,together_openai_gpt-oss-120b,-0.77,8,target_race_middle_eastern,0.0,54,0.7824074074074074
2134.0,2075.38,1400,0.04,-0.19,0.06,-3.31,1399,0.001,1.1,1.3,98,20009,together_openai_gpt-oss-120b,-0.77,11,target_religion_jewish,0.0,140,0.9029205981843774
4263.0,4117.03,3200,0.05,-0.19,0.04,-5.28,3199,0.0,1.3,1.0,101,20003,deepseek_deepseek-v4-pro,-0.76,12,target_religion_muslim,0.0,320,0.9067195281502043
1082.0,1046.7,940,0.04,-0.16,0.07,-2.34,939,0.0193,1.2,1.1,62,20009,together_openai_gpt-oss-120b,-0.77,7,target_race_latinx,0.0,94,0.8683870367452733
7326.0,7104.61,5810,0.04,-0.15,0.03,-5.79,5809,0.0,1.2,1.3,51,20007,openrouter_minimax_minimax-m2.5,-0.4,6,target_race_black,0.0,581,0.9536350436473721
4291.0,4156.6,3310,0.04,-0.14,0.03,-4.34,3309,0.0,1.0,0.9,77,20006,openai_gpt-5.4_medium,-0.11,9,target_race_white,0.0,331,0.8998389553319518
11508.0,11276.38,7960,0.03,-0.13,0.02,-5.47,7959,0.0,1.3,1.1,20,20003,deepseek_deepseek-v4-pro,-0.76,3,target_gender_women,0.0,796,0.9538741725988515
2938.0,2869.76,2080,0.03,-0.12,0.04,-2.88,2079,0.004,1.1,1.1,8,20009,together_openai_gpt-oss-120b,-0.77,1,target_gender_men,0.0,208,0.9314903846153846
653.0,637.16,530,0.03,-0.12,0.09,-1.4,529,0.1616,1.1,0.7,66,20004,google_gemini-3.1-pro-preview_medium,-0.14,8,target_race_middle_eastern,0.0,54,0.7824074074074074
683.0,653.84,1120,0.03,-0.11,0.06,-1.84,1119,0.0665,1.0,2.2,15,20007,openrouter_minimax_minimax-m2.5,-0.4,2,target_gender_transgender,0.0,112,0.8383928571428572
744.0,731.34,540,0.02,-0.11,0.09,-1.15,539,0.2489,1.1,0.8,65,20003,deepseek_deepseek-v4-pro,-0.76,8,target_race_middle_eastern,0.0,54,0.7824074074074074
4251.0,4147.13,3290,0.03,-0.11,0.03,-3.37,3289,0.0008,0.8,0.7,75,20004,google_gemini-3.1-pro-preview_medium,-0.14,9,target_race_white,0.0,331,0.8998389553319518
7162.0,7046.25,5140,0.02,-0.1,0.03,-3.33,5139,0.0009,1.2,1.3,29,20003,deepseek_deepseek-v4-pro,-0.76,4,target_origin,0.0,514,0.8706126766397814
6770.0,6649.59,5120,0.02,-0.1,0.03,-3.38,5119,0.0007,1.1,1.4,31,20005,moonshot_kimi-k2.5,-0.46,4,target_origin,0.0,514,0.8706126766397814
998.0,975.35,940,0.02,-0.1,0.07,-1.51,939,0.1319,1.1,0.8,58,20005,moonshot_kimi-k2.5,-0.46,7,target_race_latinx,0.0,94,0.8683870367452733
10769.0,10596.12,7880,0.02,-0.09,0.02,-3.99,7879,0.0001,1.1,1.0,22,20005,moonshot_kimi-k2.5,-0.46,3,target_gender_women,0.0,796,0.9538741725988515
7931.0,7821.72,5810,0.02,-0.08,0.03,-2.93,5809,0.0034,1.5,1.2,52,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,6,target_race_black,0.0,581,0.9536350436473721
2426.0,2378.43,2230,0.02,-0.08,0.04,-1.89,2229,0.0586,0.9,0.8,86,20006,openai_gpt-5.4_medium,-0.11,10,target_religion_christian,0.0,223,0.9326795550777839
2095.0,2071.24,1400,0.02,-0.08,0.06,-1.34,1399,0.1802,1.5,1.6,92,20003,deepseek_deepseek-v4-pro,-0.76,11,target_religion_jewish,0.0,140,0.9029205981843774
438.0,427.02,600,0.02,-0.08,0.08,-0.93,599,0.3539,0.7,0.9,127,20002,anthropic_claude-opus-4-6_medium,-0.37,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
2981.0,2941.1,2080,0.02,-0.07,0.04,-1.71,2079,0.0882,1.3,1.2,7,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,1,target_gender_men,0.0,208,0.9314903846153846
2898.0,2862.33,2080,0.02,-0.06,0.04,-1.5,2079,0.133,1.4,1.3,2,20003,deepseek_deepseek-v4-pro,-0.76,1,target_gender_men,0.0,208,0.9314903846153846
2511.0,2475.59,2080,0.02,-0.06,0.04,-1.41,2079,0.1577,1.3,1.4,5,20006,openai_gpt-5.4_medium,-0.11,1,target_gender_men,0.0,208,0.9314903846153846
7083.0,7014.94,5140,0.01,-0.06,0.03,-1.95,5139,0.0509,1.1,1.2,36,20010,xai_grok-4-1-fast-reasoning,-0.73,4,target_origin,0.0,514,0.8706126766397814
2493.0,2463.71,2060,0.01,-0.05,0.04,-1.18,2059,0.2396,0.8,0.7,3,20004,google_gemini-3.1-pro-preview_medium,-0.14,1,target_gender_men,0.0,208,0.9314903846153846
10699.0,10607.77,7960,0.01,-0.05,0.02,-2.08,7959,0.0374,1.1,1.3,24,20007,openrouter_minimax_minimax-m2.5,-0.4,3,target_gender_women,0.0,796,0.9538741725988515
237.0,230.71,650,0.01,-0.05,0.09,-0.55,649,0.5818,0.9,0.5,112,20005,moonshot_kimi-k2.5,-0.46,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
763.0,752.12,1120,0.01,-0.04,0.06,-0.66,1119,0.5112,1.2,1.3,17,20009,together_openai_gpt-oss-120b,-0.77,2,target_gender_transgender,0.0,112,0.8383928571428572
2803.0,2778.11,2230,0.01,-0.04,0.04,-1.02,2229,0.3091,1.1,1.0,83,20003,deepseek_deepseek-v4-pro,-0.76,10,target_religion_christian,0.0,223,0.9326795550777839
11576.0,11526.67,7960,0.01,-0.03,0.02,-1.18,7959,0.2367,1.3,1.1,25,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,3,target_gender_women,0.0,796,0.9538741725988515
7253.0,7215.75,5140,0.01,-0.03,0.03,-1.08,5139,0.2781,1.2,1.1,34,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,4,target_origin,0.0,514,0.8706126766397814
279.0,274.37,650,0.01,-0.03,0.08,-0.38,649,0.7023,1.1,0.7,116,20009,together_openai_gpt-oss-120b,-0.77,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
6578.0,6556.57,5140,0.0,-0.02,0.03,-0.6,5139,0.5504,0.8,1.0,28,20002,anthropic_claude-opus-4-6_medium,-0.37,4,target_origin,0.0,514,0.8706126766397814
7085.0,7062.2,5140,0.0,-0.02,0.03,-0.66,5139,0.5117,1.1,1.4,35,20009,together_openai_gpt-oss-120b,-0.77,4,target_origin,0.0,514,0.8706126766397814
4775.0,4756.03,3310,0.01,-0.02,0.03,-0.65,3309,0.5153,1.1,1.2,80,20009,together_openai_gpt-oss-120b,-0.77,9,target_race_white,0.0,331,0.8998389553319518
728.0,727.17,770,0.0,0.0,0.07,-0.06,769,0.9537,0.7,0.6,37,20002,anthropic_claude-opus-4-6_medium,-0.37,5,target_race_asian,0.0,77,0.9259502761489206
589.0,590.49,1120,0.0,0.01,0.07,0.1,1119,0.9226,0.9,0.5,12,20004,google_gemini-3.1-pro-preview_medium,-0.14,2,target_gender_transgender,0.0,112,0.8383928571428572
9984.0,9995.66,7890,0.0,0.01,0.02,0.26,7889,0.7943,0.9,0.8,21,20004,google_gemini-3.1-pro-preview_medium,-0.14,3,target_gender_women,0.0,796,0.9538741725988515
730.0,733.61,770,0.0,0.02,0.07,0.25,769,0.8004,1.0,1.5,42,20007,openrouter_minimax_minimax-m2.5,-0.4,5,target_race_asian,0.0,77,0.9259502761489206
7557.0,7586.37,5810,-0.01,0.02,0.03,0.78,5809,0.4352,1.4,1.1,54,20010,xai_grok-4-1-fast-reasoning,-0.73,6,target_race_black,0.0,581,0.9536350436473721
900.0,904.02,940,0.0,0.02,0.07,0.27,939,0.7875,1.0,0.7,57,20004,google_gemini-3.1-pro-preview_medium,-0.14,7,target_race_latinx,0.0,94,0.8683870367452733
892.0,897.87,940,-0.01,0.03,0.07,0.39,939,0.6936,1.4,1.1,59,20006,openai_gpt-5.4_medium,-0.11,7,target_race_latinx,0.0,94,0.8683870367452733
646.0,650.14,540,-0.01,0.03,0.09,0.36,539,0.717,1.3,1.2,68,20006,openai_gpt-5.4_medium,-0.11,8,target_race_middle_eastern,0.0,54,0.7824074074074074
4720.0,4744.78,3310,-0.01,0.03,0.03,0.85,3309,0.3962,1.3,1.2,74,20003,deepseek_deepseek-v4-pro,-0.76,9,target_race_white,0.0,331,0.8998389553319518
6193.0,6239.77,5130,-0.01,0.04,0.03,1.28,5129,0.1994,0.9,1.2,30,20004,google_gemini-3.1-pro-preview_medium,-0.14,4,target_origin,0.0,514,0.8706126766397814
802.0,811.34,770,-0.01,0.04,0.07,0.64,769,0.5206,1.3,1.0,44,20009,together_openai_gpt-oss-120b,-0.77,5,target_race_asian,0.0,77,0.9259502761489206
947.0,955.11,940,-0.01,0.04,0.07,0.54,939,0.5889,0.8,0.6,55,20002,anthropic_claude-opus-4-6_medium,-0.37,7,target_race_latinx,0.0,94,0.8683870367452733
735.0,745.56,770,-0.01,0.05,0.07,0.74,769,0.4615,1.0,0.8,40,20005,moonshot_kimi-k2.5,-0.46,5,target_race_asian,0.0,77,0.9259502761489206
4398.0,4447.06,3290,-0.01,0.05,0.03,1.63,3289,0.1022,1.0,0.9,76,20005,moonshot_kimi-k2.5,-0.46,9,target_race_white,0.0,331,0.8998389553319518
424.0,431.46,600,-0.01,0.05,0.08,0.63,599,0.5301,0.8,4.1,132,20007,openrouter_minimax_minimax-m2.5,-0.4,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
947.0,962.22,940,-0.02,0.07,0.07,1.01,939,0.3108,0.9,0.9,60,20007,openrouter_minimax_minimax-m2.5,-0.4,7,target_race_latinx,0.0,94,0.8683870367452733
2344.0,2386.47,2220,-0.02,0.07,0.04,1.7,2219,0.09,0.8,0.6,84,20004,google_gemini-3.1-pro-preview_medium,-0.14,10,target_religion_christian,0.0,223,0.9326795550777839
1932.0,1954.39,1400,-0.02,0.07,0.05,1.22,1399,0.221,1.2,1.8,96,20007,openrouter_minimax_minimax-m2.5,-0.4,11,target_religion_jewish,0.0,140,0.9029205981843774
2583.0,2633.43,2080,-0.02,0.08,0.04,2.05,2079,0.0404,0.8,0.7,1,20002,anthropic_claude-opus-4-6_medium,-0.37,1,target_gender_men,0.0,208,0.9314903846153846
649.0,668.64,1120,-0.02,0.08,0.06,1.23,1119,0.2196,1.1,0.8,13,20005,moonshot_kimi-k2.5,-0.46,2,target_gender_transgender,0.0,112,0.8383928571428572
666.0,681.35,770,-0.02,0.08,0.07,1.09,769,0.2752,0.8,0.6,39,20004,google_gemini-3.1-pro-preview_medium,-0.14,5,target_race_asian,0.0,77,0.9259502761489206
4325.0,4397.18,3310,-0.02,0.08,0.03,2.38,3309,0.0174,0.8,0.7,73,20002,anthropic_claude-opus-4-6_medium,-0.37,9,target_race_white,0.0,331,0.8998389553319518
7498.0,7605.95,5850,-0.02,0.08,0.03,2.97,5849,0.003,1.1,0.9,120,20004,google_gemini-3.1-pro-preview_medium,-0.14,14,target_sexuality_gay,0.0,596,0.9633685615284865
7641.0,7746.36,5960,-0.02,0.08,0.03,2.86,5959,0.0042,1.1,1.0,122,20006,openai_gpt-5.4_medium,-0.11,14,target_sexuality_gay,0.0,596,0.9633685615284865
8025.0,8128.05,5960,-0.02,0.08,0.03,2.86,5959,0.0042,1.2,1.4,123,20007,openrouter_minimax_minimax-m2.5,-0.4,14,target_sexuality_gay,0.0,596,0.9633685615284865
624.0,645.91,1120,-0.02,0.09,0.06,1.39,1119,0.1661,0.8,0.4,10,20002,anthropic_claude-opus-4-6_medium,-0.37,2,target_gender_transgender,0.0,112,0.8383928571428572
9858.0,10040.27,7960,-0.02,0.09,0.02,4.05,7959,0.0001,1.4,1.5,23,20006,openai_gpt-5.4_medium,-0.11,3,target_gender_women,0.0,796,0.9538741725988515
11061.0,11230.02,7960,-0.02,0.09,0.02,3.98,7959,0.0001,1.5,1.6,27,20010,xai_grok-4-1-fast-reasoning,-0.73,3,target_gender_women,0.0,796,0.9538741725988515
658.0,675.89,770,-0.02,0.09,0.07,1.28,769,0.2026,0.9,0.6,41,20006,openai_gpt-5.4_medium,-0.11,5,target_race_asian,0.0,77,0.9259502761489206
5858.0,5981.1,5110,-0.02,0.09,0.03,3.38,5109,0.0007,1.2,1.1,49,20005,moonshot_kimi-k2.5,-0.46,6,target_race_black,0.0,581,0.9536350436473721
2035.0,2063.11,1400,-0.02,0.09,0.06,1.58,1399,0.1138,1.8,2.3,99,20010,xai_grok-4-1-fast-reasoning,-0.73,11,target_religion_jewish,0.0,140,0.9029205981843774
8474.0,8582.26,5960,-0.02,0.09,0.03,3.09,5959,0.002,1.3,1.3,119,20003,deepseek_deepseek-v4-pro,-0.76,14,target_sexuality_gay,0.0,596,0.9633685615284865
4333.0,4426.17,3310,-0.03,0.1,0.03,3.08,3309,0.0021,1.1,1.3,78,20007,openrouter_minimax_minimax-m2.5,-0.4,9,target_race_white,0.0,331,0.8998389553319518
7938.0,8086.94,5960,-0.02,0.11,0.03,4.12,5959,0.0,0.9,0.8,118,20002,anthropic_claude-opus-4-6_medium,-0.37,14,target_sexuality_gay,0.0,596,0.9633685615284865
1049.0,1075.9,940,-0.03,0.12,0.07,1.79,939,0.0745,1.5,0.9,61,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,7,target_race_latinx,0.0,94,0.8683870367452733
1814.0,1856.1,1400,-0.03,0.12,0.05,2.25,1399,0.0244,1.4,2.1,95,20006,openai_gpt-5.4_medium,-0.11,11,target_religion_jewish,0.0,140,0.9029205981843774
423.0,439.72,600,-0.03,0.12,0.08,1.4,599,0.1618,1.1,0.9,130,20005,moonshot_kimi-k2.5,-0.46,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
6427.0,6597.18,5140,-0.03,0.13,0.03,4.75,5139,0.0,1.0,1.2,33,20007,openrouter_minimax_minimax-m2.5,-0.4,4,target_origin,0.0,514,0.8706126766397814
2566.0,2652.48,2080,-0.04,0.14,0.04,3.53,2079,0.0004,1.1,1.0,6,20007,openrouter_minimax_minimax-m2.5,-0.4,1,target_gender_men,0.0,208,0.9314903846153846
11051.0,11299.98,7960,-0.03,0.14,0.02,5.89,7959,0.0,1.2,1.4,26,20009,together_openai_gpt-oss-120b,-0.77,3,target_gender_women,0.0,796,0.9538741725988515
7428.0,7622.91,5810,-0.03,0.14,0.03,5.19,5809,0.0,1.3,1.1,47,20003,deepseek_deepseek-v4-pro,-0.76,6,target_race_black,0.0,581,0.9536350436473721
8375.0,8550.58,5960,-0.03,0.14,0.03,5.01,5959,0.0,1.4,1.3,126,20010,xai_grok-4-1-fast-reasoning,-0.73,14,target_sexuality_gay,0.0,596,0.9633685615284865
377.0,395.7,600,-0.03,0.14,0.09,1.62,599,0.1068,0.8,0.4,129,20004,google_gemini-3.1-pro-preview_medium,-0.14,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
201.0,219.23,650,-0.03,0.15,0.09,1.63,649,0.1042,0.9,0.4,109,20002,anthropic_claude-opus-4-6_medium,-0.37,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
173.0,188.84,650,-0.02,0.15,0.1,1.5,649,0.1352,1.2,0.6,113,20006,openai_gpt-5.4_medium,-0.11,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
8005.0,8203.36,5960,-0.03,0.15,0.03,5.53,5959,0.0,1.2,1.1,121,20005,moonshot_kimi-k2.5,-0.46,14,target_sexuality_gay,0.0,596,0.9633685615284865
8574.0,8753.82,5960,-0.03,0.15,0.03,5.2,5959,0.0,1.6,1.1,124,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,14,target_sexuality_gay,0.0,596,0.9633685615284865
2587.0,2687.36,2080,-0.05,0.17,0.04,4.11,2079,0.0,1.1,1.1,4,20005,moonshot_kimi-k2.5,-0.46,1,target_gender_men,0.0,208,0.9314903846153846
1006.0,1043.7,940,-0.04,0.17,0.07,2.5,939,0.0125,1.4,0.9,56,20003,deepseek_deepseek-v4-pro,-0.76,7,target_race_latinx,0.0,94,0.8683870367452733
2445.0,2558.53,2230,-0.05,0.18,0.04,4.56,2229,0.0,0.9,0.9,87,20007,openrouter_minimax_minimax-m2.5,-0.4,10,target_religion_christian,0.0,223,0.9326795550777839
368.0,392.01,600,-0.04,0.18,0.09,2.08,599,0.0381,0.7,0.5,131,20006,openai_gpt-5.4_medium,-0.11,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
994.0,1037.84,940,-0.05,0.19,0.07,2.91,939,0.0037,1.3,1.0,63,20010,xai_grok-4-1-fast-reasoning,-0.73,7,target_race_latinx,0.0,94,0.8683870367452733
2422.0,2538.93,2230,-0.05,0.19,0.04,4.69,2229,0.0,0.7,0.5,82,20002,anthropic_claude-opus-4-6_medium,-0.37,10,target_religion_christian,0.0,223,0.9326795550777839
536.0,584.01,1120,-0.04,0.21,0.07,3.14,1119,0.0017,1.0,0.5,14,20006,openai_gpt-5.4_medium,-0.11,2,target_gender_transgender,0.0,112,0.8383928571428572
2464.0,2594.57,2230,-0.06,0.21,0.04,5.26,2229,0.0,0.8,0.7,85,20005,moonshot_kimi-k2.5,-0.46,10,target_religion_christian,0.0,223,0.9326795550777839
6369.0,6701.57,5800,-0.06,0.22,0.03,8.61,5799,0.0,1.1,0.9,48,20004,google_gemini-3.1-pro-preview_medium,-0.14,6,target_race_black,0.0,581,0.9536350436473721
700.0,728.22,540,-0.05,0.23,0.09,2.57,539,0.0105,1.5,1.5,72,20010,xai_grok-4-1-fast-reasoning,-0.73,8,target_race_middle_eastern,0.0,54,0.7824074074074074
240.0,272.43,650,-0.05,0.23,0.09,2.68,649,0.0076,1.1,1.1,110,20003,deepseek_deepseek-v4-pro,-0.76,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
6707.0,7058.33,5810,-0.06,0.24,0.03,9.17,5809,0.0,1.0,0.8,46,20002,anthropic_claude-opus-4-6_medium,-0.37,6,target_race_black,0.0,581,0.9536350436473721
8294.0,8598.4,5960,-0.05,0.24,0.03,8.71,5959,0.0,1.3,1.7,125,20009,together_openai_gpt-oss-120b,-0.77,14,target_sexuality_gay,0.0,596,0.9633685615284865
446.0,483.81,600,-0.06,0.26,0.08,3.09,599,0.0021,1.1,0.6,128,20003,deepseek_deepseek-v4-pro,-0.76,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
6253.0,6679.04,5810,-0.07,0.28,0.03,11.01,5809,0.0,1.3,1.1,50,20006,openai_gpt-5.4_medium,-0.11,6,target_race_black,0.0,581,0.9536350436473721
2618.0,2786.01,2230,-0.08,0.28,0.04,6.87,2229,0.0,0.9,0.9,89,20009,together_openai_gpt-oss-120b,-0.77,10,target_religion_christian,0.0,223,0.9326795550777839
747.0,808.55,770,-0.08,0.29,0.07,4.23,769,0.0,1.3,1.2,38,20003,deepseek_deepseek-v4-pro,-0.76,5,target_race_asian,0.0,77,0.9259502761489206
662.0,741.48,1120,-0.07,0.3,0.06,4.82,1119,0.0,1.1,0.6,18,20010,xai_grok-4-1-fast-reasoning,-0.73,2,target_gender_transgender,0.0,112,0.8383928571428572
2672.0,2862.36,2230,-0.09,0.32,0.04,7.84,2229,0.0,1.3,1.1,88,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,10,target_religion_christian,0.0,223,0.9326795550777839
656.0,748.51,1120,-0.08,0.35,0.06,5.59,1119,0.0,1.3,1.0,11,20003,deepseek_deepseek-v4-pro,-0.76,2,target_gender_transgender,0.0,112,0.8383928571428572
428.0,479.95,600,-0.09,0.36,0.08,4.25,599,0.0,1.2,0.6,135,20010,xai_grok-4-1-fast-reasoning,-0.73,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
219.0,268.67,650,-0.08,0.37,0.09,4.12,649,0.0,1.4,0.8,117,20010,xai_grok-4-1-fast-reasoning,-0.73,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
448.0,505.22,600,-0.1,0.39,0.08,4.63,599,0.0,2.0,2.3,133,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,15,target_sexuality_lesbian,0.0,60,0.9541666666666667
713.0,803.1,770,-0.12,0.44,0.07,6.19,769,0.0,1.3,0.8,45,20010,xai_grok-4-1-fast-reasoning,-0.73,5,target_race_asian,0.0,77,0.9259502761489206
728.0,838.64,770,-0.14,0.53,0.07,7.56,769,0.0,1.6,1.4,43,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,5,target_race_asian,0.0,77,0.9259502761489206
643.0,787.81,1120,-0.13,0.55,0.06,8.61,1119,0.0,1.9,1.4,16,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,2,target_gender_transgender,0.0,112,0.8383928571428572
175.0,293.69,650,-0.18,0.92,0.1,9.42,649,0.0,1.8,0.9,115,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-0.9,13,target_sexuality_bisexual,0.0,65,0.9461538461538461
