judge_id,model_label,plot_label,provider,provider_label,measure,s_e,t_score,t_count,obs_avge,fair_mavge,infit_ms,infit_z,outfit_ms,outfit_z,facet_id,source_run,source_path,source_mtime_iso,aa_model_name,aa_model_slug,aa_intelligence_index,aa_source_url,aa_match_type,aa_match_notes,aa_retrieved_at_utc
openai_gpt-5.2_high,GPT-5.2 (High),GPT-5.2,openai,OpenAI,-0.11,0.09,950.0,700.0,1.36,1.27,0.76,-2.74,1.13,0.48,20031,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.2 (xhigh),gpt-5-2,51.2765852164605,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4-nano_none,GPT-5.4 Nano (None),GPT-5.4 Nano,openai,OpenAI,-0.11,0.1,804.0,600.0,1.34,1.27,1.58,4.82,1.63,1.5,20044,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 nano (Non-Reasoning),gpt-5-4-nano-non-reasoning,24.3621414800889,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4_high,GPT-5.4 (High),GPT-5.4,openai,OpenAI,-0.16,0.09,957.0,700.0,1.37,1.3,0.93,-0.69,1.28,0.9,20046,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 (xhigh),gpt-5-4,56.7997233488278,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.2_medium,GPT-5.2 (Medium),GPT-5.2,openai,OpenAI,-0.17,0.09,958.0,700.0,1.37,1.3,0.61,-4.76,0.64,-1.16,20033,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.2 (medium),gpt-5-2-medium,46.641406836252,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_xhigh,GPT-5.2 (XHigh),GPT-5.2,openai,OpenAI,-0.18,0.09,959.0,700.0,1.37,1.31,0.66,-4.1,0.66,-1.07,20035,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.2 (xhigh),gpt-5-2,51.2765852164605,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4_medium,GPT-5.4 (Medium),GPT-5.4,openai,OpenAI,-0.18,0.09,958.0,700.0,1.37,1.31,0.87,-1.41,1.23,0.77,20006,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,GPT-5.4 (low),gpt-5-4-low,47.9406819859079,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports low and xhigh but not medium for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4_low,GPT-5.4 (Low),GPT-5.4,openai,OpenAI,-0.22,0.09,964.0,700.0,1.38,1.33,0.7,-3.54,0.68,-1.02,20047,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 (low),gpt-5-4-low,47.9406819859079,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_high,Gemini 3.1 Pro Preview (High),Gemini 3.1 Pro Preview,google,Google,-0.24,0.09,967.0,700.0,1.38,1.34,0.67,-3.92,0.56,-1.53,20026,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_z-ai_glm-5-turbo,GLM-5 Turbo,GLM-5 Turbo,zai,Z.ai,-0.24,0.09,967.0,700.0,1.38,1.34,0.65,-4.24,0.48,-1.9,20056,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GLM-5-Turbo,glm-5-turbo,46.7579895566062,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_low,GPT-5.2 (Low),GPT-5.2,openai,OpenAI,-0.25,0.09,968.0,700.0,1.38,1.35,0.62,-4.66,0.63,-1.21,20032,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.2 (medium),gpt-5-2-medium,46.641406836252,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_medium,Gemini 3.1 Pro Preview (Medium),Gemini 3.1 Pro Preview,google,Google,-0.26,0.09,968.0,700.0,1.38,1.35,0.55,-5.82,0.44,-2.14,20004,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openai_gpt-5.4_xhigh,GPT-5.4 (XHigh),GPT-5.4,openai,OpenAI,-0.27,0.09,886.0,640.0,1.38,1.36,0.79,-2.22,0.69,-0.9,20050,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 (xhigh),gpt-5-4,56.7997233488278,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_low,Gemini 3 Flash Preview (Low),Gemini 3 Flash Preview,google,Google,-0.3,0.09,975.0,700.0,1.39,1.38,0.6,-4.9,0.41,-2.34,20019,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
openai_gpt-5.4_none,GPT-5.4 (None),GPT-5.4,openai,OpenAI,-0.31,0.09,976.0,700.0,1.39,1.38,0.78,-2.51,0.64,-1.21,20049,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.4 (Non-reasoning),gpt-5-4-non-reasoning,35.3898498855854,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_none,GPT-5.2 (None),GPT-5.2,openai,OpenAI,-0.32,0.09,977.0,700.0,1.4,1.39,0.69,-3.64,0.54,-1.68,20034,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,GPT-5.2 (Non-reasoning),gpt-5-2-non-reasoning,33.5705439104817,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_high,Claude Opus 4.6 (High),Claude Opus 4.6,anthropic,Anthropic,-0.37,0.09,984.0,700.0,1.41,1.42,0.55,-5.68,0.32,-2.99,20008,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4,Claude Opus 4,Claude Opus 4,anthropic,Anthropic,-0.39,0.09,947.0,680.0,1.39,1.43,0.7,-3.52,0.38,-2.5,20003,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Opus 4,claude-opus-4,33.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_high,Claude Opus 4.5 (High),Claude Opus 4.5,anthropic,Anthropic,-0.39,0.09,986.0,700.0,1.41,1.43,0.67,-3.98,0.39,-2.53,20005,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,49.7271233982407,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_high,Claude Sonnet 4.6 (High),Claude Sonnet 4.6,anthropic,Anthropic,-0.39,0.09,987.0,700.0,1.41,1.43,0.59,-5.13,0.33,-2.9,20013,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,44.3844694825582,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_medium,Claude Sonnet 4.6 (Medium),Claude Sonnet 4.6,anthropic,Anthropic,-0.39,0.09,986.0,700.0,1.41,1.43,0.58,-5.16,0.34,-2.83,20015,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,44.3844694825582,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high and low non-reasoning rows but not medium.,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_low,Gemini 3.1 Pro Preview (Low),Gemini 3.1 Pro Preview,google,Google,-0.39,0.09,986.0,700.0,1.41,1.43,0.63,-4.54,0.45,-2.19,20027,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_minimax_minimax-m2.5,MiniMax M2.5,MiniMax M2.5,minimax,MiniMax,-0.4,0.09,987.0,700.0,1.41,1.43,0.75,-2.87,0.51,-1.88,20007,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,MiniMax-M2.5,minimax-m2-5,41.9330092208782,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_medium,Gemini 3.1 Flash Lite Preview (Medium),Gemini 3.1 Flash Lite Preview,google,Google,-0.42,0.09,990.0,700.0,1.41,1.44,0.64,-4.31,0.39,-2.54,20024,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_medium,Gemini 3 Flash Preview (Medium),Gemini 3 Flash Preview,google,Google,-0.43,0.09,991.0,700.0,1.42,1.45,0.53,-6.0,0.3,-3.18,20020,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
moonshot_kimi-k2.5,Kimi K2.5,Kimi K2.5,moonshotai,Moonshot AI,-0.43,0.09,895.0,650.0,1.38,1.44,0.69,-3.54,0.52,-1.72,20005,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,Kimi K2.5 (Reasoning),kimi-k2-5,46.8125298030348,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
xai_grok-4-fast-non-reasoning,Grok 4 Fast Non Reasoning,Grok 4 Fast Non Reasoning,xai,xAI,-0.43,0.09,992.0,700.0,1.42,1.45,1.04,0.45,0.9,-0.25,20060,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Grok 4 Fast (Non-reasoning),grok-4-fast,23.11598414503,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-5,Claude Sonnet 4.5,Claude Sonnet 4.5,anthropic,Anthropic,-0.44,0.09,973.0,690.0,1.41,1.46,0.79,-2.36,0.44,-2.24,20012,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Sonnet 4.5,claude-sonnet-4-5,37.1,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_minimal,Gemini 3 Flash Preview (Minimal),Gemini 3 Flash Preview,google,Google,-0.44,0.09,993.0,700.0,1.42,1.45,0.66,-4.1,0.45,-2.18,20021,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3 Flash Preview (Non-reasoning),gemini-3-flash,35.0478627754699,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports non-reasoning rather than a minimal-effort row.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_low,Claude Opus 4.6 (Low),Claude Opus 4.6,anthropic,Anthropic,-0.45,0.09,994.0,700.0,1.42,1.46,0.56,-5.53,0.32,-3.05,20009,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high non-reasoning and max adaptive rows but not low.,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_low,Gemini 3.1 Flash Lite Preview (Low),Gemini 3.1 Flash Lite Preview,google,Google,-0.46,0.09,995.0,700.0,1.42,1.46,0.62,-4.6,0.34,-2.88,20023,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-1,Claude Opus 4.1,Claude Opus 4.1,anthropic,Anthropic,-0.47,0.09,957.0,680.0,1.41,1.47,0.62,-4.53,0.4,-2.47,20004,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Opus 4.1,claude-opus-4-1,36.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_high,Gemini 3 Flash Preview (High),Gemini 3 Flash Preview,google,Google,-0.47,0.09,997.0,700.0,1.42,1.47,0.54,-5.76,0.31,-3.1,20018,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_low,Claude Opus 4.5 (Low),Claude Opus 4.5,anthropic,Anthropic,-0.48,0.09,998.0,700.0,1.43,1.47,0.57,-5.3,0.33,-2.98,20006,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,43.0906561165857,https://artificialanalysis.ai/leaderboards/models,nearest_effort,Mapped to AA non-reasoning row because no low-effort row is published.,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_low,Claude Sonnet 4.6 (Low),Claude Sonnet 4.6,anthropic,Anthropic,-0.48,0.09,998.0,700.0,1.43,1.47,0.61,-4.81,0.34,-2.9,20014,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,42.6010568374292,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_medium,Claude Opus 4.6 (Medium),Claude Opus 4.6,anthropic,Anthropic,-0.49,0.09,998.0,700.0,1.43,1.47,0.56,-5.63,0.32,-3.07,20002,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high non-reasoning and max adaptive rows but not medium.,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_high,Gemini 3.1 Flash Lite Preview (High),Gemini 3.1 Flash Lite Preview,google,Google,-0.49,0.09,999.0,700.0,1.43,1.48,0.75,-2.87,0.42,-2.42,20022,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_qwen_qwen3.5-122b-a10b,Qwen3.5 122B A10B,Qwen3.5 122B A10B,qwen,Qwen,-0.5,0.09,1001.0,700.0,1.43,1.49,0.72,-3.22,0.37,-2.72,20054,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Qwen3.5 122B A10B (Reasoning),qwen3-5-122b-a10b,41.6024020788982,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
xai_grok-4-1-fast-non-reasoning,Grok 4.1 Fast Non Reasoning,Grok 4.1 Fast Non Reasoning,xai,xAI,-0.5,0.09,1001.0,700.0,1.43,1.49,1.06,0.68,0.98,0.04,20058,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Grok 4.1 Fast (Non-reasoning),grok-4-1-fast,23.5609676664112,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_medium,Claude Opus 4.5 (Medium),Claude Opus 4.5,anthropic,Anthropic,-0.51,0.09,1002.0,700.0,1.43,1.49,0.61,-4.76,0.37,-2.75,20007,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,49.7271233982407,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
deepseek_deepseek-v4-pro,Deepseek_Deepseek v4 Pro,Deepseek_Deepseek v4 Pro,deepseek,DeepSeek,-0.54,0.09,1005.0,700.0,1.44,1.5,0.74,-3.03,0.57,-1.66,20003,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,"DeepSeek V4 Pro (Reasoning, Max Effort)",deepseek-v4-pro,51.5094430539975,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openrouter_moonshotai_kimi-k2.5,Kimi K2.5,Kimi K2.5,moonshotai,Moonshot AI,-0.55,0.09,1007.0,700.0,1.44,1.51,0.66,-4.07,0.5,-1.98,20053,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Kimi K2.5 (Reasoning),kimi-k2-5,46.8125298030348,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
xai_grok-4-fast-reasoning,Grok 4 Fast Reasoning,Grok 4 Fast Reasoning,xai,xAI,-0.55,0.09,1007.0,700.0,1.44,1.51,0.95,-0.52,0.58,-1.58,20061,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Grok 4 Fast (Reasoning),grok-4-fast-reasoning,35.0573458628874,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4,Claude Sonnet 4,Claude Sonnet 4,anthropic,Anthropic,-0.58,0.09,855.0,620.0,1.38,1.52,0.92,-0.76,0.58,-1.41,20011,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude Sonnet 4,claude-sonnet-4,33.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
openrouter_xiaomi_mimo-v2-pro,MiMo V2 Pro,MiMo V2 Pro,xiaomi,Xiaomi,-0.6,0.09,1013.0,700.0,1.45,1.53,0.72,-3.29,0.38,-2.71,20055,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,MiMo-V2-Pro,mimo-v2-pro,49.2015261023006,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_minimal,Gemini 3.1 Flash Lite Preview (Minimal),Gemini 3.1 Flash Lite Preview,google,Google,-0.69,0.09,1025.0,700.0,1.46,1.57,0.73,-3.12,0.37,-2.8,20025,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
xai_grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Reasoning,xai,xAI,-0.71,0.09,1026.0,700.0,1.47,1.57,1.0,0.03,0.73,-0.97,20010,full_run_models_reference_set,facets/full_run_models_reference_set/combined_scores.csv,2026-05-19T15:33:32,Grok 4.1 Fast (Reasoning),grok-4-1-fast-reasoning,38.6138254039866,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-2.5-pro,Gemini 2.5 Pro,Gemini 2.5 Pro,google,Google,-0.73,0.09,1004.0,680.0,1.48,1.59,0.88,-1.31,0.46,-2.21,20017,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Gemini 2.5 Pro,gemini-2-5-pro,34.6276323579138,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-haiku-4-5,Claude Haiku 4.5,Claude Haiku 4.5,anthropic,Anthropic,-0.75,0.09,1032.0,700.0,1.47,1.6,1.09,0.99,0.48,-2.16,20002,reference_set_all,facets/reference_set_all/combined_scores.csv,2026-05-04T15:18:29,Claude 4.5 Haiku (Non-reasoning),claude-4-5-haiku,31.0484063122655,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA non-reasoning row because the run has no reasoning suffix.,2026-05-19T17:36:34+00:00
