judge_id,model_label,aa_model_name,aa_model_slug,aa_intelligence_index,aa_source_url,aa_match_type,aa_match_notes,aa_retrieved_at_utc
openai_gpt-5.4_high,GPT-5.4 (High),GPT-5.4 (xhigh),gpt-5-4,56.7997233488278,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports xhigh but not high for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.2_medium,GPT-5.2 (Medium),GPT-5.2 (medium),gpt-5-2-medium,46.641406836252,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_xhigh,GPT-5.2 (XHigh),GPT-5.2 (xhigh),gpt-5-2,51.2765852164605,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.4_medium,GPT-5.4 (Medium),GPT-5.4 (low),gpt-5-4-low,47.9406819859079,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports low and xhigh but not medium for this model.,2026-05-19T17:36:34+00:00
openai_gpt-5.4_low,GPT-5.4 (Low),GPT-5.4 (low),gpt-5-4-low,47.9406819859079,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_high,Gemini 3.1 Pro Preview (High),Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_z-ai_glm-5-turbo,GLM-5 Turbo,GLM-5-Turbo,glm-5-turbo,46.7579895566062,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_low,GPT-5.2 (Low),GPT-5.2 (medium),gpt-5-2-medium,46.641406836252,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports medium but not low for this model.,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_medium,Gemini 3.1 Pro Preview (Medium),Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openai_gpt-5.4_xhigh,GPT-5.4 (XHigh),GPT-5.4 (xhigh),gpt-5-4,56.7997233488278,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_low,Gemini 3 Flash Preview (Low),Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
openai_gpt-5.4_none,GPT-5.4 (None),GPT-5.4 (Non-reasoning),gpt-5-4-non-reasoning,35.3898498855854,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-5.2_none,GPT-5.2 (None),GPT-5.2 (Non-reasoning),gpt-5-2-non-reasoning,33.5705439104817,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_high,Claude Opus 4.6 (High),"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4,Claude Opus 4,Claude Opus 4,claude-opus-4,33.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_high,Claude Opus 4.5 (High),Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,49.7271233982407,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_high,Claude Sonnet 4.6 (High),"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,44.3844694825582,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_medium,Claude Sonnet 4.6 (Medium),"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,44.3844694825582,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high and low non-reasoning rows but not medium.,2026-05-19T17:36:34+00:00
google_gemini-3.1-pro-preview_low,Gemini 3.1 Pro Preview (Low),Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,57.1754980007686,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Pro Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_minimax_minimax-m2.5,MiniMax M2.5,MiniMax-M2.5,minimax-m2-5,41.9330092208782,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_medium,Gemini 3.1 Flash Lite Preview (Medium),Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_medium,Gemini 3 Flash Preview (Medium),Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
moonshot_kimi-k2.5,Kimi K2.5,Kimi K2.5 (Reasoning),kimi-k2-5,46.8125298030348,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
xai_grok-4-fast-non-reasoning,Grok 4 Fast Non Reasoning,Grok 4 Fast (Non-reasoning),grok-4-fast,23.11598414503,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-5,Claude Sonnet 4.5,Claude Sonnet 4.5,claude-sonnet-4-5,37.1,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_minimal,Gemini 3 Flash Preview (Minimal),Gemini 3 Flash Preview (Non-reasoning),gemini-3-flash,35.0478627754699,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports non-reasoning rather than a minimal-effort row.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_low,Claude Opus 4.6 (Low),"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high non-reasoning and max adaptive rows but not low.,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_low,Gemini 3.1 Flash Lite Preview (Low),Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-1,Claude Opus 4.1,Claude Opus 4.1,claude-opus-4-1,36.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
google_gemini-3-flash-preview_high,Gemini 3 Flash Preview (High),Gemini 3 Flash Preview (Reasoning),gemini-3-flash-reasoning,46.4289843837565,https://artificialanalysis.ai/leaderboards/models,nearest_effort,"AA reports reasoning and non-reasoning rows, not low/medium/high splits.",2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_low,Claude Opus 4.5 (Low),Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,43.0906561165857,https://artificialanalysis.ai/leaderboards/models,nearest_effort,Mapped to AA non-reasoning row because no low-effort row is published.,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4-6_low,Claude Sonnet 4.6 (Low),"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,42.6010568374292,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-6_medium,Claude Opus 4.6 (Medium),"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,46.4610675227052,https://artificialanalysis.ai/leaderboards/models,nearest_effort,AA reports high non-reasoning and max adaptive rows but not medium.,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_high,Gemini 3.1 Flash Lite Preview (High),Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
openrouter_qwen_qwen3.5-122b-a10b,Qwen3.5 122B A10B,Qwen3.5 122B A10B (Reasoning),qwen3-5-122b-a10b,41.6024020788982,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
xai_grok-4-1-fast-non-reasoning,Grok 4.1 Fast Non Reasoning,Grok 4.1 Fast (Non-reasoning),grok-4-1-fast,23.5609676664112,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-opus-4-5_medium,Claude Opus 4.5 (Medium),Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,49.7271233982407,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
deepseek_deepseek-v4-pro,Deepseek_Deepseek v4 Pro,"DeepSeek V4 Pro (Reasoning, Max Effort)",deepseek-v4-pro,51.5094430539975,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openrouter_moonshotai_kimi-k2.5,Kimi K2.5,Kimi K2.5 (Reasoning),kimi-k2-5,46.8125298030348,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA reasoning row.,2026-05-19T17:36:34+00:00
xai_grok-4-fast-reasoning,Grok 4 Fast Reasoning,Grok 4 Fast (Reasoning),grok-4-fast-reasoning,35.0573458628874,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-sonnet-4,Claude Sonnet 4,Claude Sonnet 4,claude-sonnet-4,33.0,https://lmspeed.net/leaderboard/best-intelligence-index-models,mirror_fallback,Not present in the current AA page scrape; using LMSpeed's AA mirror.,2026-05-19T17:36:34+00:00
openrouter_xiaomi_mimo-v2-pro,MiMo V2 Pro,MiMo-V2-Pro,mimo-v2-pro,49.2015261023006,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-3.1-flash-lite-preview_minimal,Gemini 3.1 Flash Lite Preview (Minimal),Gemini 3.1 Flash-Lite Preview,gemini-3-1-flash-lite-preview,33.5180974406105,https://artificialanalysis.ai/leaderboards/models,exact_model,AA reports one Gemini 3.1 Flash-Lite Preview score without effort splits.,2026-05-19T17:36:34+00:00
xai_grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,Grok 4.1 Fast (Reasoning),grok-4-1-fast-reasoning,38.6138254039866,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
google_gemini-2.5-pro,Gemini 2.5 Pro,Gemini 2.5 Pro,gemini-2-5-pro,34.6276323579138,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
anthropic_claude-haiku-4-5,Claude Haiku 4.5,Claude 4.5 Haiku (Non-reasoning),claude-4-5-haiku,31.0484063122655,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA non-reasoning row because the run has no reasoning suffix.,2026-05-19T17:36:34+00:00
together_openai_gpt-oss-120b,GPT-OSS 120B,gpt-oss-120B (high),gpt-oss-120b,33.2656574231208,https://artificialanalysis.ai/leaderboards/models,exact_model,AA slug matches the base model and reports the high-effort row.,2026-05-19T17:36:34+00:00
google_gemini-2.5-flash,Gemini 2.5 Flash,Gemini 2.5 Flash (Non-reasoning),gemini-2-5-flash,20.5636858644241,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA non-reasoning row because the run has no reasoning suffix.,2026-05-19T17:36:34+00:00
openai_gpt-4.1,GPT-4.1,GPT-4.1,gpt-4-1,26.2763251375318,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
xai_grok-3,Grok 3,Grok 3,grok-3,25.1732030273458,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
openai_gpt-4o,GPT-4o,GPT-4o (Nov '24),gpt-4o,17.3233195008758,https://artificialanalysis.ai/leaderboards/models,exact_model,Mapped to AA generic GPT-4o row.,2026-05-19T17:36:34+00:00
together_meta-llama_llama-3.3-70b-instruct-turbo,Llama 3.3 70B,Llama 3.3 Instruct 70B,llama-3-3-instruct-70b,14.4886189960183,https://artificialanalysis.ai/leaderboards/models,exact,,2026-05-19T17:36:34+00:00
