observed_score,expected_score,observed_count,obs_exp_average,bias_size,model_se,t,df,p_value,infit_mnsq,outfit_mnsq,bias_sequence,judge_id,judge_label,judge_measure,item_id,item_label,item_measure
145.0,144.79,70,0.0,-0.01,0.23,-0.05,69,0.9602,0.4,0.1,21,20004,google_gemini-3.1-pro-preview_medium,-0.26,3,insult,-0.95
136.0,133.13,65,0.04,-0.16,0.23,-0.67,64,0.5026,0.5,0.2,22,20005,moonshot_kimi-k2.5,-0.43,3,insult,-0.95
144.0,143.4,70,0.01,-0.03,0.23,-0.14,69,0.8881,1.0,2.8,23,20006,openai_gpt-5.4_medium,-0.18,3,insult,-0.95
144.0,147.47,70,-0.05,0.19,0.23,0.81,69,0.4206,0.6,0.3,24,20007,openrouter_minimax_minimax-m2.5,-0.4,3,insult,-0.95
166.0,161.41,70,0.07,-0.26,0.24,-1.08,69,0.2852,1.3,0.3,25,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,3,insult,-0.95
160.0,154.03,70,0.09,-0.32,0.23,-1.39,69,0.1705,0.9,1.3,26,20009,together_openai_gpt-oss-120b,-0.76,3,insult,-0.95
159.0,153.13,70,0.08,-0.32,0.23,-1.36,69,0.1778,1.1,0.3,27,20010,xai_grok-4-1-fast-reasoning,-0.71,3,insult,-0.95
77.0,78.15,70,-0.02,0.08,0.26,0.3,69,0.7678,0.4,0.3,28,20002,anthropic_claude-opus-4-6_medium,-0.49,4,humiliate,0.62
94.0,78.97,70,0.21,-1.12,0.28,-3.94,69,0.0002,0.7,0.3,29,20003,deepseek_deepseek-v4-pro,-0.54,4,humiliate,0.62
82.0,74.58,70,0.11,-0.5,0.27,-1.87,69,0.0655,0.4,0.2,30,20004,google_gemini-3.1-pro-preview_medium,-0.26,4,humiliate,0.62
74.0,68.31,65,0.09,-0.42,0.28,-1.52,64,0.1337,0.6,0.8,31,20005,moonshot_kimi-k2.5,-0.43,4,humiliate,0.62
82.0,73.36,70,0.12,-0.57,0.27,-2.16,69,0.0345,1.0,1.0,32,20006,openai_gpt-5.4_medium,-0.18,4,humiliate,0.62
78.0,76.85,70,0.02,-0.08,0.26,-0.29,69,0.769,0.6,0.5,33,20007,openrouter_minimax_minimax-m2.5,-0.4,4,humiliate,0.62
100.0,87.6,70,0.18,-0.99,0.29,-3.42,69,0.0011,0.7,0.3,34,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,4,humiliate,0.62
97.0,82.09,70,0.21,-1.15,0.29,-3.99,69,0.0002,1.1,1.6,35,20009,together_openai_gpt-oss-120b,-0.76,4,humiliate,0.62
98.0,81.4,70,0.24,-1.28,0.29,-4.43,69,0.0,0.6,0.3,36,20010,xai_grok-4-1-fast-reasoning,-0.71,4,humiliate,0.62
50.0,46.15,70,0.06,-0.63,0.41,-1.52,69,0.1333,0.5,0.2,37,20002,anthropic_claude-opus-4-6_medium,-0.49,5,status,-0.48
46.0,46.5,70,-0.01,0.08,0.39,0.2,69,0.8428,0.7,0.9,38,20003,deepseek_deepseek-v4-pro,-0.54,5,status,-0.48
48.0,44.63,70,0.05,-0.53,0.4,-1.31,69,0.1956,0.5,0.2,39,20004,google_gemini-3.1-pro-preview_medium,-0.26,5,status,-0.48
40.0,41.03,65,-0.02,0.16,0.4,0.41,64,0.6822,0.8,0.4,40,20005,moonshot_kimi-k2.5,-0.43,5,status,-0.48
48.0,44.12,70,0.06,-0.6,0.4,-1.5,69,0.1394,0.8,1.3,41,20006,openai_gpt-5.4_medium,-0.18,5,status,-0.48
51.0,45.59,70,0.08,-0.88,0.42,-2.12,69,0.0377,0.5,0.2,42,20007,openrouter_minimax_minimax-m2.5,-0.4,5,status,-0.48
54.0,50.28,70,0.05,-0.67,0.43,-1.54,69,0.1293,0.6,0.2,43,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,5,status,-0.48
52.0,47.86,70,0.06,-0.7,0.42,-1.66,69,0.1005,0.6,0.3,44,20009,together_openai_gpt-oss-120b,-0.76,5,status,-0.48
52.0,47.56,70,0.06,-0.75,0.42,-1.78,69,0.0796,0.5,0.2,45,20010,xai_grok-4-1-fast-reasoning,-0.71,5,status,-0.48
37.0,38.58,70,-0.02,0.2,0.35,0.57,69,0.5696,0.4,0.3,46,20002,anthropic_claude-opus-4-6_medium,-0.49,6,dehumanize,0.6
32.0,39.0,70,-0.1,0.85,0.34,2.53,69,0.0136,0.7,0.6,47,20003,deepseek_deepseek-v4-pro,-0.54,6,dehumanize,0.6
27.0,36.76,70,-0.14,1.11,0.33,3.41,69,0.0011,0.8,0.6,48,20004,google_gemini-3.1-pro-preview_medium,-0.26,6,dehumanize,0.6
25.0,33.84,65,-0.14,1.15,0.35,3.28,64,0.0017,0.7,0.5,49,20005,moonshot_kimi-k2.5,-0.43,6,dehumanize,0.6
16.0,36.15,70,-0.29,2.22,0.34,6.53,69,0.0,1.2,0.7,50,20006,openai_gpt-5.4_medium,-0.18,6,dehumanize,0.6
36.0,37.92,70,-0.03,0.24,0.35,0.69,69,0.4945,0.8,0.6,51,20007,openrouter_minimax_minimax-m2.5,-0.4,6,dehumanize,0.6
47.0,43.46,70,0.05,-0.54,0.4,-1.36,69,0.1796,0.6,0.3,52,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,6,dehumanize,0.6
34.0,40.61,70,-0.09,0.84,0.34,2.44,69,0.0172,1.1,1.3,53,20009,together_openai_gpt-oss-120b,-0.76,6,dehumanize,0.6
24.0,40.26,70,-0.23,1.88,0.32,5.81,69,0.0,1.1,0.8,54,20010,xai_grok-4-1-fast-reasoning,-0.71,6,dehumanize,0.6
22.0,24.29,70,-0.03,0.24,0.32,0.74,69,0.4613,0.7,0.5,55,20002,anthropic_claude-opus-4-6_medium,-0.49,7,violence,2.23
18.0,24.81,70,-0.1,0.73,0.33,2.18,69,0.0323,0.7,0.4,56,20003,deepseek_deepseek-v4-pro,-0.54,7,violence,2.23
17.0,22.08,70,-0.07,0.55,0.34,1.64,69,0.1057,0.6,0.3,57,20004,google_gemini-3.1-pro-preview_medium,-0.26,7,violence,2.23
18.0,21.02,65,-0.05,0.37,0.35,1.05,64,0.2995,0.7,0.4,58,20005,moonshot_kimi-k2.5,-0.43,7,violence,2.23
17.0,21.36,70,-0.06,0.47,0.34,1.41,69,0.1621,0.6,0.4,59,20006,openai_gpt-5.4_medium,-0.18,7,violence,2.23
18.0,23.47,70,-0.08,0.59,0.33,1.76,69,0.0828,0.6,0.4,60,20007,openrouter_minimax_minimax-m2.5,-0.4,7,violence,2.23
26.0,30.58,70,-0.07,0.49,0.33,1.52,69,0.1337,0.9,0.6,61,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,7,violence,2.23
22.0,26.85,70,-0.07,0.51,0.32,1.57,69,0.1202,0.8,0.5,62,20009,together_openai_gpt-oss-120b,-0.76,7,violence,2.23
17.0,26.4,70,-0.13,1.01,0.34,2.99,69,0.0038,0.6,0.4,63,20010,xai_grok-4-1-fast-reasoning,-0.71,7,violence,2.23
12.0,16.06,70,-0.06,0.5,0.37,1.37,69,0.1751,0.6,0.3,64,20002,anthropic_claude-opus-4-6_medium,-0.49,8,genocide,3.12
10.0,16.54,70,-0.09,0.84,0.39,2.17,69,0.0336,0.8,0.4,65,20003,deepseek_deepseek-v4-pro,-0.54,8,genocide,3.12
10.0,14.1,70,-0.06,0.55,0.39,1.42,69,0.1593,0.8,0.4,66,20004,google_gemini-3.1-pro-preview_medium,-0.26,8,genocide,3.12
9.0,13.9,65,-0.08,0.73,0.41,1.77,64,0.0813,0.8,0.3,67,20005,moonshot_kimi-k2.5,-0.43,8,genocide,3.12
9.0,13.49,70,-0.06,0.63,0.4,1.57,69,0.1211,0.8,0.4,68,20006,openai_gpt-5.4_medium,-0.18,8,genocide,3.12
10.0,15.32,70,-0.08,0.7,0.39,1.8,69,0.0759,0.8,0.4,69,20007,openrouter_minimax_minimax-m2.5,-0.4,8,genocide,3.12
17.0,22.23,70,-0.07,0.57,0.34,1.69,69,0.0962,1.0,1.4,70,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,8,genocide,3.12
11.0,18.47,70,-0.11,0.91,0.37,2.42,69,0.018,0.8,0.4,71,20009,together_openai_gpt-oss-120b,-0.76,8,genocide,3.12
9.0,18.03,70,-0.13,1.16,0.4,2.9,69,0.005,0.8,0.4,72,20010,xai_grok-4-1-fast-reasoning,-0.71,8,genocide,3.12
153.0,149.05,70,0.06,-0.22,0.24,-0.92,69,0.3591,0.6,0.3,73,20002,anthropic_claude-opus-4-6_medium,-0.49,9,attack_defend,-1.08
157.0,150.05,70,0.1,-0.4,0.24,-1.63,69,0.1074,1.0,0.7,74,20003,deepseek_deepseek-v4-pro,-0.54,9,attack_defend,-1.08
149.0,144.73,70,0.06,-0.23,0.23,-0.98,69,0.3304,0.7,0.7,75,20004,google_gemini-3.1-pro-preview_medium,-0.26,9,attack_defend,-1.08
141.0,133.61,65,0.11,-0.43,0.25,-1.75,64,0.0853,0.7,0.4,76,20005,moonshot_kimi-k2.5,-0.43,9,attack_defend,-1.08
152.0,143.28,70,0.12,-0.47,0.24,-1.99,69,0.0509,0.8,0.9,77,20006,openai_gpt-5.4_medium,-0.18,9,attack_defend,-1.08
148.0,147.47,70,0.01,-0.03,0.23,-0.12,69,0.903,1.0,0.8,78,20007,openrouter_minimax_minimax-m2.5,-0.4,9,attack_defend,-1.08
161.0,160.56,70,0.01,-0.03,0.25,-0.11,69,0.9128,0.3,0.3,79,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,9,attack_defend,-1.08
131.0,153.87,70,-0.33,1.19,0.22,5.44,69,0.0,1.9,3.2,80,20009,together_openai_gpt-oss-120b,-0.76,9,attack_defend,-1.08
164.0,153.03,70,0.16,-0.67,0.26,-2.62,69,0.0109,1.2,0.5,81,20010,xai_grok-4-1-fast-reasoning,-0.71,9,attack_defend,-1.08
46.0,36.7,70,0.13,-1.3,0.39,-3.29,69,0.0016,0.4,0.2,82,20002,anthropic_claude-opus-4-6_medium,-0.49,10,hate_speech,0.84
46.0,37.14,70,0.13,-1.24,0.39,-3.15,69,0.0024,0.5,0.2,83,20003,deepseek_deepseek-v4-pro,-0.54,10,hate_speech,0.84
43.0,34.8,70,0.12,-1.08,0.38,-2.84,69,0.006,0.5,0.2,84,20004,google_gemini-3.1-pro-preview_medium,-0.26,10,hate_speech,0.84
42.0,32.1,65,0.15,-1.48,0.4,-3.65,64,0.0005,0.6,0.3,85,20005,moonshot_kimi-k2.5,-0.43,10,hate_speech,0.84
49.0,34.16,70,0.21,-2.09,0.41,-5.12,69,0.0,0.6,0.7,86,20006,openai_gpt-5.4_medium,-0.18,10,hate_speech,0.84
50.0,36.0,70,0.2,-2.03,0.41,-4.93,69,0.0,0.5,0.2,87,20007,openrouter_minimax_minimax-m2.5,-0.4,10,hate_speech,0.84
48.0,41.79,70,0.09,-0.94,0.4,-2.34,69,0.0225,0.6,0.3,88,20008,together_meta-llama_llama-3.3-70b-instruct-turbo,-1.16,10,hate_speech,0.84
53.0,38.82,70,0.2,-2.2,0.43,-5.15,69,0.0,0.7,0.3,89,20009,together_openai_gpt-oss-120b,-0.76,10,hate_speech,0.84
49.0,38.45,70,0.15,-1.56,0.41,-3.82,69,0.0003,0.6,0.3,90,20010,xai_grok-4-1-fast-reasoning,-0.71,10,hate_speech,0.84
